TIME,SUB/PUB,Topic,Payload
2022-10-17 20:34:33.858,SUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/call,"b'{""id"": ""ac2de665-4e0f-11ed-aa73-dcfb488dcda0"", ""type"": 0, ""origin"": 1, ""destination"": 3}'"
2022-10-17 20:34:33.872,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/call/response,"b'{""id"": ""ac2de665-4e0f-11ed-aa73-dcfb488dcda0"", ""result"": 0}'"
2022-10-17 20:34:45.658,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/arrival,"b'{""info"": 1, ""floor"": 1}'"
2022-10-17 20:34:49.031,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/door/state,"b'{""state"": 0}'"
2022-10-17 20:34:53.680,SUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/state,"b'{""id"": ""b7fec762-4e0f-11ed-b298-dcfb488dcda0"", ""state"": 1}'"
2022-10-17 20:34:53.688,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/state/response,"b'{""id"": ""b7fec762-4e0f-11ed-b298-dcfb488dcda0"", ""result"": 0}'"
2022-10-17 20:34:59.785,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/door/state,"b'{""state"": 2}'"
2022-10-17 20:35:02.556,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/floor,"b'{""floor"": 2}'"
2022-10-17 20:35:04.498,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/floor,"b'{""floor"": 3}'"
2022-10-17 20:35:09.324,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/arrival,"b'{""info"": 2, ""floor"": 3}'"
2022-10-17 20:35:13.723,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/door/state,"b'{""state"": 0}'"
2022-10-17 20:35:19.438,SUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/state,"b'{""id"": ""c7590da5-4e0f-11ed-ac04-dcfb488dcda0"", ""state"": 4}'"
2022-10-17 20:35:19.447,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/state/response,"b'{""id"": ""c7590da5-4e0f-11ed-ac04-dcfb488dcda0"", ""result"": 0}'"
2022-10-17 20:35:25.933,PUB,/elsa/elsa-1/elevator/ev-204-1/robot/wmr001/door/state,"b'{""state"": 2}'"
